variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Chamaedaphne calyculata,Ericaceae,Chamaedaphne,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,16,8,128,9.1,10,7,7,11.376731,12.964181,-0.09431,0.46338,2.15805,14,1.079025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Chamaedaphne calyculata,Ericaceae,Chamaedaphne,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,64,3,192,12.9,10,7,7,8.466404,12.964181,0.25464,0.30163,3.31527,14,1.657635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Ledum groenlandicum,Ericaceae,Ledum,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,64,3,192,9.5,11,7,7,5.556078,6.878953,-0.1466,0.10473,9.54818,15,4.77409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Ledum groenlandicum,Ericaceae,Ledum,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,16,8,128,9.6,11,7,7,8.730979,6.878953,-0.13613,0.17403,5.74608,15,2.87304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Vaccinium myrtilloides,Ericaceae,Vaccinium,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,16,8,128,10.9,9.8,7,7,11.376731,5.026927,0.10638,0.19322,5.17558,16,2.58779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Bubier-2011-Oecologia,45.67N,75.83W,6,944,5,Vaccinium myrtilloides,Ericaceae,Vaccinium,C3,non-legumes,Natural,Woody,Shrub,NA,NA,NH4NO3,64,3,192,11,9.8,7,7,11.376731,5.026927,0.11551,0.1904,5.25214,16,2.62607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Calfapietra-2005-Environmental Pollution,42.37N,11.8E,14.8,422,7.4,Populus xeuramericana,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,Other,251,2,502,10.1,11.9,3,3,1.04,3.46,-0.164,0.03178,31.47063,17,10.49021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Calfapietra-2005-Environmental Pollution,42.37N,11.8E,14.8,422,7.4,Populus xeuramericana,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,Other,251,2,502,15.3,12.7,3,3,6.24,5.02,0.18625,0.10751,9.30186,17,3.10062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Calfapietra-2005-Environmental Pollution,42.37N,11.8E,14.8,422,7.4,Populus xeuramericana,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,Other,251,2,502,4.3,3.1,3,3,1.04,0.69,0.32721,0.03612,27.68602,17,9.228673333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis aggregata,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,NH4NO3,100,1,100,16.16,23.65,8,8,4.33,6,-0.38055,0.01701,58.78507,18,29.392535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis aggregata,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,Other,100,1,100,25.29,12.47,8,8,7.11,6.74,0.70752,0.04641,21.54509,18,10.772545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis aggregata × Ipomopsis tenuituba,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,NH4NO3,100,1,100,23.04,23.57,8,8,8.44,7.71,-0.02276,0.03018,33.13901,19,16.569505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
