variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
inst-WUE,Loverlock-2003-Oecology,NA,NA,NA,NA,NA,Avicennia germinans,Acanthaceae,Avicennia,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Evergreen,Urea,NA,1,NA,4.45,3.96,6,6,0.75,0.73,0.1181,0.01035,96.57196,31,96.57196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,"Martin-2010-Plant, Cell & Environment",32.70S,150.20E,13.3,856,5.5,Avicennia marina (scrub),Acanthaceae,Avicennia,C3,non-legumes,Natural,Woody,Shrub,NA,NA,Urea,NA,3,NA,5.1,4,18,18,1.27279,0.84853,0.24295,0.00596,167.77939,32,167.77939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,"Martin-2010-Plant, Cell & Environment",32.70S,150.20E,13.3,856,5.5,Avicennia marina (fringe),Acanthaceae,Avicennia,C3,non-legumes,Natural,Woody,Shrub,NA,NA,Urea,NA,3,NA,4.5,3.4,18,18,1.27279,1.27279,0.2803,0.01223,81.76674,33,81.76674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Mozdzer-2018-Functional Ecology,38.87N,76.55W,13.3,1100,5.1,Phragmites australis,Poaceae,Phragmites,C3,non-legumes,Managed,Herb,Grass,NA,NA,NH4+,250,3,750,5.07,4.59,3,3,0.46765,0.29445,0.09946,0.00421,237.65516,34,237.65516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Pinus koriaensis,Pinaceae,Pinus,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4NO3,23,NA,NA,5.31,5,4,4,0.36,0.06,0.06015,0.00119,843.81415,35,281.2713833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Pinus koriaensis,Pinaceae,Pinus,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4NO3,69,NA,NA,5.35,5,4,4,0.24,0.06,0.06766,5.4e-4,1854.94099,35,618.3136633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Pinus koriaensis,Pinaceae,Pinus,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4NO3,46,NA,NA,5.46,5,4,4,0.22,0.06,0.08801,4.4e-4,2263.0462,35,754.3487333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Tilia amurensis,Malvaceae,Tilia,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4NO3,23,NA,NA,5.72,5.08,4,4,1.16,0.16,0.11866,0.01053,94.96968,36,31.65656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Tilia amurensis,Malvaceae,Tilia,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4NO3,46,NA,NA,5.94,5.08,4,4,0.94,0.16,0.1564,0.00651,153.64052,36,51.21350667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Sun-2016-Acta Ecologica Sinica,42.40N,128.96E,3.6,695,5.85,Tilia amurensis,Malvaceae,Tilia,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4NO3,69,NA,NA,6.29,5.08,4,4,1.12,0.16,0.21365,0.00817,122.33346,36,40.77782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Tang-2017-Acta Physiologiae Plantarum,31.68N,103.90E,9.3,825,6,Picea asperata,Pinaceae,Picea,C3,non-legumes,Managed,Woody,Tree,Conifer,Evergreen,NH4NO3,200,1,200,41.25312,34.15819,3,3,4.37555,1.34273,0.18872,0.00427,234.46341,37,117.231705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Tang-2017-Acta Physiologiae Plantarum,31.68N,103.90E,9.3,825,6,Picea asperata,Pinaceae,Picea,C3,non-legumes,Managed,Woody,Tree,Conifer,Evergreen,NH4NO3,400,1,400,53.10875,34.15819,3,3,1.69422,1.34273,0.44134,8.5e-4,1170.55485,37,585.277425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Vernonia baldvinii,Asteraceae,Vernonia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,2.03,2.66,4,4,0.28,0.43,-0.27026,0.01112,89.88772,38,89.88772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Andropogon gerardii,Poaceae,Andropogon,C4,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,0.33,33,4.04,4.6,4,4,0.31,0.28,-0.12792,0.00233,428.81359,39,142.9378633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Andropogon gerardii,Poaceae,Andropogon,C4,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,0.33,33,3.06,3.35,4,4,0.31,0.25,-0.0911,0.00386,259.13738,39,86.37912667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Andropogon gerardii,Poaceae,Andropogon,C4,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,0.33,33,4.65,5.01,4,4,0.21,0.31,-0.07626,0.00147,681.58651,39,227.1955033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Vernonia baldvinii,Asteraceae,Vernonia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.76,1.85,4,4,0.34,0.34,-0.05202,0.01737,57.56096,40,57.56096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Solidago spp.,Asteraceae,Solidago,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.81,1.89,4,4,0.21,0.4,-0.04257,0.01463,68.3583,41,68.3583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Andropogon gerardii,Poaceae,Andropogon,C4,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,0.33,33,3.43,3.54,4,4,0.21,0.21,-0.03137,0.00189,528.27027,42,528.27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Vernonia baldvinii,Asteraceae,Vernonia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.69,1.69,4,4,0.37,0.34,-0.00103,0.02174,46.00831,43,46.00831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Solidago spp.,Asteraceae,Solidago,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.6,1.57,4,4,0.21,0.21,0.01827,0.00917,109.08683,44,109.08683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Salvia pitcherii,Lamiaceae,Salvia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.52,1.48,4,4,0.31,0.21,0.02914,0.01527,65.50059,45,65.50059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Solidago spp.,Asteraceae,Solidago,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,2.23,2.11,4,4,0.55,0.34,0.05556,0.02164,46.20208,46,23.10104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Solidago spp.,Asteraceae,Solidago,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,2.11,1.99,4,4,0.25,0.37,0.05856,0.01188,84.20896,46,42.10448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Salvia pitcherii,Lamiaceae,Salvia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.56,1.47,4,4,0.21,0.25,0.05973,0.01167,85.7211,47,85.7211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Vernonia baldvinii,Asteraceae,Vernonia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.75,1.6,4,4,0.34,0.4,0.08945,0.02444,40.9156,48,40.9156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Salvia pitcherii,Lamiaceae,Salvia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,2.15,1.77,4,4,0.31,0.37,0.19516,0.0159,62.89004,49,31.44502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Turner-1996-Ecology,NA,NA,NA,NA,NA,Salvia pitcherii,Lamiaceae,Salvia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,0.33,33,1.66,1.34,4,4,0.25,0.31,0.21354,0.01843,54.25287,49,27.126435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,120,5,600,54.7,56,4,4,10.2,8.4,-0.02349,0.01432,69.84255,50,9.977507143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,20,5,100,56.1,56,4,4,10.4,8.4,0.00178,0.01422,70.33963,50,10.04851857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,100,5,500,61,56,4,4,10.6,8.4,0.08552,0.01317,75.90682,50,10.84383143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,40,5,200,61.9,56,4,4,16.8,8.4,0.10017,0.02404,41.59693,50,5.942418571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2012-Plos One,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,100,3,300,3.86302,3.47399,6,6,0.18541,0.25869,0.10615,0.00131,764.47201,50,109.2102871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,80,5,400,72.1,56,4,4,14,8.4,0.2527,0.01505,66.44095,50,9.491564286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Wang-2016-Tree Physiology,42.40N,128.96E,3.6,695,5.85,Fraxinus mandshurica,Oleaceae,Fraxinus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,60,5,300,73.7,56,4,4,17.4,8.4,0.27465,0.01956,51.12503,50,7.303575714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xiao-2010-Acta Scientiae Circumstantiae,43 33 3N,116 40 31E,-0.4,346,NA,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,50,1,50,3.56,2.94,3,3,0.79,0.52,0.19146,0.02719,36.78272,51,12.26090667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xiao-2010-Acta Scientiae Circumstantiae,43 33 3N,116 40 31E,-0.4,346,NA,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,100,1,100,4.12,2.94,3,3,0.93,0.52,0.33909,0.0275,36.36545,51,12.12181667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xiao-2010-Acta Scientiae Circumstantiae,43 33 3N,116 40 31E,-0.4,346,NA,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,200,1,200,5.15,2.94,3,3,1.21,0.52,0.56209,0.02893,34.56659,51,11.52219667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Potentilla fragarioides,Rosaceae,Potentilla,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,140,3,420,2.3,3.5,6,6,0.42,0.34,-0.41985,0.00706,141.58013,53,70.790065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Anemone rivularis,Ranunculaceae,Anemone,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,210,3,630,2.3,3.5,6,6,0.42,0.42,-0.41985,0.00782,127.83928,54,63.91964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Anemone rivularis,Ranunculaceae,Anemone,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,140,3,420,2.4,3.5,6,6,0.37,0.42,-0.37729,0.00627,159.60587,54,79.802935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Potentilla fragarioides,Rosaceae,Potentilla,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,70,3,210,2.5,3.5,6,6,0.39,0.34,-0.33647,0.0057,175.5618,55,175.5618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Anemone rivularis,Ranunculaceae,Anemone,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,70,3,210,2.6,3.5,6,6,0.56,0.42,-0.29725,0.01018,98.18719,56,98.18719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Oxytropis kansuensis,Fabaceae,Oxytropis,C3,legumes,Natural,Herb,Forb,NA,NA,NH4NO3,210,3,630,2.9,3.1,6,6,0.39,0.34,-0.06669,0.00508,196.71342,57,65.57114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Oxytropis kansuensis,Fabaceae,Oxytropis,C3,legumes,Natural,Herb,Forb,NA,NA,NH4NO3,70,3,210,3.1,3.1,6,6,0.32,0.34,0,0.0038,263.28767,57,87.76255667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Oxytropis kansuensis,Fabaceae,Oxytropis,C3,legumes,Natural,Herb,Forb,NA,NA,NH4NO3,140,3,420,3.1,3.1,6,6,0.64,0.34,0,0.00907,110.20642,57,36.73547333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Elymus nutans,Poaceae,Elymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,70,3,210,5.9,5.4,6,6,0.51,0.71,0.08855,0.00415,240.90783,58,240.90783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Kobresia capillifolia,Cyperaceae,Kobresia,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,70,3,210,6.8,6.1,6,6,1.1,0.22,0.10863,0.0046,217.53276,59,108.76638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Kobresia capillifolia,Cyperaceae,Kobresia,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,140,3,420,6.9,6.1,6,6,0.96,0.22,0.12323,0.00341,293.0497,59,146.52485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Elymus nutans,Poaceae,Elymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,140,3,420,6.2,5.4,6,6,0.42,0.71,0.13815,0.00364,275.0344,60,275.0344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Kobresia capillifolia,Cyperaceae,Kobresia,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,210,3,630,7.3,6.1,6,6,1.15,0.22,0.17959,0.00436,229.20396,61,229.20396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Xu-2018-Catena,33.97N,101.88E,1.2,620,6.33,Elymus nutans,Poaceae,Elymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,210,3,630,6.5,5.4,6,6,0.51,0.71,0.1854,0.00393,254.5906,62,254.5906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yan-2013-Acta Ecologica Sinica,29.20N,118.20E,15.3,1964,5.3,Elaeocarpus glabripetalus,Elaeocarpaceae,Elaeocarpus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Evergreen,NH4NO3,100,3,300,3.37248,4.61949,3,3,0.20799,0.93589,-0.31464,0.01495,66.89177,63,66.89177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yan-2013-Acta Ecologica Sinica,29.20N,118.20E,15.3,1964,5.3,Cyclobalanopsis glauca,Fagaceae,Cyclobalanopsis,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Evergreen,NH4NO3,100,3,300,3.35078,3.85927,3,3,0.3015,0.37444,-0.14128,0.00584,171.33279,64,171.33279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yan-2013-Acta Ecologica Sinica,29.20N,118.20E,15.3,1964,5.3,Liquidambar formosana,Altingiaceae,Liquidambar,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,100,3,300,3.7292,3.81138,3,3,0.312,0.44723,-0.0218,0.00692,144.44826,65,144.44826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yan-2013-Acta Ecologica Sinica,29.20N,118.20E,15.3,1964,5.3,Schima superba,Theaceae,Schima,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Evergreen,NH4NO3,100,3,300,3.9923,3.59615,3,3,0.51989,0.572,0.1045,0.01409,70.99343,66,70.99343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yang-2012-New Forests,29.57N,101.98E,3.8,1940,NA,Abies fabri,Pinaceae,Abies,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4NO3,50,1,50,2.69137,2.68408,3,3,0.08906,0.1484,0.00271,0.00138,722.59077,67,722.59077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yang-2015-Chinese Journal of Plant Ecology,43.55N,116.68E,0.3,346,7.8,Cleistogenes squarrosa,Poaceae,Cleistogenes,C4,non-legumes,Managed,Herb,Grass,NA,NA,Urea,105,1,105,2.61,2.28,4,4,0.83,0.45,0.13511,0.03528,28.34157,68,9.44719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yang-2015-Chinese Journal of Plant Ecology,43.55N,116.68E,0.3,346,7.8,Cleistogenes squarrosa,Poaceae,Cleistogenes,C4,non-legumes,Managed,Herb,Grass,NA,NA,Urea,350,1,350,3.02,2.28,4,4,0.19,0.45,0.2794,0.01074,93.10635,68,31.03545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yang-2015-Chinese Journal of Plant Ecology,43.55N,116.68E,0.3,346,7.8,Cleistogenes squarrosa,Poaceae,Cleistogenes,C4,non-legumes,Managed,Herb,Grass,NA,NA,Urea,560,1,560,4.7,2.28,4,4,2.09,0.45,0.72192,0.05906,16.93236,68,5.64412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yeboah-2017-Photosynthetica,35.47N,104.73E,5.8,391,8.2,Triticum aestivum,Poaceae,Triticum,C3,non-legumes,Managed,Herb,Grass,NA,NA,Urea,50,1,50,1.81,1.73,3,3,0.31177,0.36373,0.04521,0.02462,40.60966,70,20.30483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inst-WUE,Yeboah-2017-Photosynthetica,35.47N,104.73E,5.8,391,8.2,Triticum aestivum,Poaceae,Triticum,C3,non-legumes,Managed,Herb,Grass,NA,NA,Urea,50,1,50,1.63,1.53,3,3,0.19053,0.22517,0.06331,0.01177,84.93561,70,42.467805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,60,2,120,7.636632,6.661743,3,3,0.295498,0.464354,0.136576,0.002119,471.994616,1,78.66576933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,60,4,240,8.903988,7.368538,3,3,1.308634,0.844278,0.18928,0.011576,86.383227,1,14.3972045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,60,3,180,6.125554,5.004431,3,3,0.886492,0.633209,0.202145,0.012318,81.182565,1,13.5304275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,120,4,480,9.147711,7.368538,3,3,0.506566,0.844278,0.216284,0.005398,185.244274,1,30.87404567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,120,2,240,9.050221,6.661743,3,3,0.506569,0.464354,0.306408,0.002664,375.38875,1,62.56479167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Cosentino-2014-European Journal of Agronomy,37.40N,15.05E,17.8,499,8.6,Arundo donax,Poaceae,Arundo,C3,non-legumes,Natural,Herb,Grass,NA,NA,Other,120,3,360,7.295421,5.004431,3,3,0.886492,0.633209,0.376923,0.010258,97.48076,1,16.24679333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Harrington-2001-Ecosystems,22.13N,159.63W,17.3,2500,4.8,Metrosideros polymorpha,Myrtaceae,Metrosideros,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Evergreen,Other,100,6,600,6.4,7.2,4,4,1,1,-0.117783,0.010926,91.524414,2,45.762207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAI,Harrington-2001-Ecosystems,19.57N,155.50W,8.9,2500,6.5,Metrosideros polymorpha,Myrtaceae,Metrosideros,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Evergreen,Other,100,13,1300,6,6,4,4,0.6,0.8,0,0.006944,144,2,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
